ds,yhat,yhat_lower,yhat_upper
2023-09-05 17:00:00,81482.11805180136,72336.42753249496,90192.88841034219
2023-09-05 17:15:00,81220.74899445166,73087.17224047135,90371.66812877379
2023-09-05 17:30:00,80961.18325857961,72200.39989686421,89169.64860378818
2023-09-05 17:45:00,80738.15716121934,71364.40033194843,89543.56876306362
2023-09-05 18:00:00,80583.53986389883,71731.04349564019,90105.11433044888
2023-09-05 18:15:00,80524.256081394,71415.84439923841,89629.70250825399
2023-09-05 18:30:00,80580.44606299007,71095.47289202744,89588.90909740805
2023-09-05 18:45:00,80763.96941961058,72165.96418806205,89628.55295977424
2023-09-05 19:00:00,81077.33889717971,72032.13987489732,89975.94228663191
2023-09-05 19:15:00,81513.14489004738,72472.34401578129,89928.75522619052
2023-09-05 19:30:00,82054.00293968788,72902.84218088504,91105.4111692422
2023-09-05 19:45:00,82673.02645354875,74065.45847953996,91380.76217410708
2023-09-05 20:00:00,83334.79727522297,75111.76980065794,92871.81775125403
2023-09-05 20:15:00,84012.99700486712,74955.85972112954,92438.36045459974
2023-09-05 20:30:00,84643.53214657526,75781.95459810147,93231.48250855933
2023-09-05 20:45:00,85175.23320324485,75501.7504052819,94035.01365517899
2023-09-05 21:00:00,85555.84150963402,76964.69065828851,93862.15833241357
2023-09-05 21:15:00,85734.25752778711,76878.44115158902,94423.00920511699
2023-09-05 21:30:00,85662.71942709567,76433.48531223703,94492.29336859443
